make,model,production_starting_year,production_ending_year,vehicle_size,vehicle_type,vehicle_class
Acura,CDX,2016,-,Subcompact,Luxury,CUV
Acura,CL,1998,2003,Mid-size,Luxury,Grand Tourer
Acura,EL,1997,2005,Subcompact,Luxury,Car
Acura,ILX,2012,-,Subcompact,Luxury,Car
Acura,Integra,1995,2006,Compact,Luxury,Car
Acura,MDX,2001,-,Mid-size,Luxury,CUV
Acura,NSX,2001,-,Mid-size,Luxury ,Sports Car
Acura,RDX,2006,-,Compact,Luxury,CUV
Acura,RL,1995,2012,Full-size,Luxury,Car
Acura,RLX,2013,-,Full-size,Luxury,Car
Acura,RSX,2002,2006,Compact,Luxury,Coupe
Acura,TL,1999,2014,Mid-size,Luxury,Car
Acura,TLX,2014,-,Mid-size,Luxury,Car
Acura,TSX,2003,2014,Compact,Luxury,Car
Acura,ZDX,2010,2013,Mid-size,Luxury,CUV
Alfa Romeo,146,1994,2001,Compact,,Hatchback
Alfa Romeo,147,1998,2010,Compact,,Hatchback
Alfa Romeo,147 GTA,2002,2010,Compact,Sport,Hot Hatchback
Alfa Romeo,156,1997,2007,Compact,Luxury,Car
Alfa Romeo,156 GTA,2002,2007,Compact,Luxury,Car
Alfa Romeo,159,2005,2011,Compact,Luxury,Car
Alfa Romeo,166,1998,2007,Full-size,Luxury,Car
Alfa Romeo,4C,2013,-,Compact,,Sports Car
Alfa Romeo,8C Competizione,2008,2010,Compact,,Sports Car
Alfa Romeo,Brera,2005,2010,Mid-size,,Sports Car
Alfa Romeo,Giulia,2016,-,Mid-size,Luxury,Car
Alfa Romeo,Giulietta,2010,-,Subcompact,,Hatchback
Alfa Romeo,GT,2003,-,Compact,,Sports Car
Alfa Romeo,GTV,1995,2006,Compact,,Sports Car
Alfa Romeo,MiTo,2008,2018,Subcompact,,Hatchback
Alfa Romeo,Spider,1998,2010,Compact,,Sports Car
Alfa Romeo,Stelvio,2017,-,Compact,Luxury,CUV
Aston Martin,Cygnet,2011,2013,Subcompact,,Hatchback
Aston Martin,DB11,2016,-,Mid-size,Luxury,Grand Tourer
Aston Martin,DB9,2004,2016,Mid-size,Luxury,Grand Tourer
Aston Martin,DBS,2003,2012,Mid-size,Luxury,Grand Tourer
Aston Martin,DBS Superleggera,2018,-,Mid-size,Luxury,Grand Tourer
Aston Martin,DBS Violante,2007,2012,Mid-size,Luxury,Grand Tourer
Aston Martin,DBX,2020,-,Mid-size,Luxury,CUV
Aston Martin,Rapide,2010,-,Mid-size,Luxury,Car
Aston Martin,V12 Vanquish,2001,2008,Compact,Luxury,Supercar
Aston Martin,V12 Vantage,2010,2018,Compact,Luxury,Supercar
Aston Martin,V8 Vantage,2005,2007,Compact,Luxury,Supercar
Aston Martin,Valkyrie,2019,-,Compact,Luxury,Hypercar
Aston Martin,Vanquish,2011,2018,Mid-size,Luxury,Grand Tourer
Aston Martin,Vantage,2018,-,Compact,Luxury,Supercar
Aston Martin,Virage,2011,2012,Compact,Luxury,Supercar
Aston Martin,Zagato Coupe,2016,2016,Compact,Luxury,Supercar
Audi,A1,2010,-,Subcompact,Luxury,Hatchback
Audi,A2,2000,2006,Subcompact,Luxury,Hatchback
Audi,A3,1996,-,Subcompact,Luxury,Car
Audi,A4,1995,-,Compact,Luxury,Car
Audi,A4 Allroad Quattro,2009,-,Compact,,Wagon
Audi,A5,2007,-,Compact,Luxury,Coupe
Audi,A6,1998,-,Mid-size,Luxury,Car
Audi,A7,2010,-,Mid-size,Luxury,Car
Audi,A8,1994,-,Full-size,Luxury,Car
Audi,Allroad,2000,2011,Mid-size,,Wagon
Audi,e-tron,2019,-,Mid-size,Electric Luxury,SUV
Audi,e-tron GT,2020,-,Mid-size,Electric Luxury,SUV
Audi,e-tron Sportback,2020,-,Mid-size,Electric Luxury,SUV
Audi,Q2,2016,-,Subcompact,Luxury,CUV
Audi,Q3,2011,-,Subcompact,Luxury,CUV
